complaint_text,department,sentiment
Road condition being assessed,Roads,Neutral
Repair approval pending for damaged road,Roads,Neutral
Road department informed about issue,Roads,Neutral
Road repaired successfully near bridge,Roads,Positive
Fresh road surface improved driving,Roads,Positive
Potholes repaired quickly near school,Roads,Positive
Road maintenance completed efficiently,Roads,Positive
Smooth road after repair work,Roads,Positive
Residents happy after road repair,Roads,Positive
Damaged road fixed successfully,Roads,Positive
Road quality improved after maintenance,Roads,Positive
Road repaired without delay,Roads,Positive
Road condition much better now,Roads,Positive
Dangerous potholes causing accidents,Roads,Critical
Road collapsed near bridge,Roads,Critical
Severe road crack risking vehicles,Roads,Critical
Huge pothole damaging bikes,Roads,Critical
Broken road causing safety issues,Roads,Critical
Emergency road collapse creating accident danger,Roads,Critical
Bridge road severely damaged and unsafe,Roads,Critical
Huge potholes creating major accident risk,Roads,Critical
Collapsed roadside creating danger for vehicles,Roads,Critical
Deep road crack risking public safety,Roads,Critical
Broken road near school causing safety concerns,Roads,Critical
Major road damage blocking ambulance access,Roads,Critical
Unsafe road condition after heavy rainfall,Roads,Critical
Road collapse near junction causing danger,Roads,Critical
Severe potholes damaging vehicles daily,Roads,Critical
Road maintenance delayed for many days,Roads,Negative
Poor road quality making travel difficult,Roads,Negative
Uneven road surface causing inconvenience,Roads,Negative
Road repair work progressing slowly,Roads,Negative
Damaged road affecting local traffic,Roads,Negative
Road condition worsening after rainfall,Roads,Negative
Broken roadside pavement causing discomfort,Roads,Negative
Poor road construction quality near market,Roads,Negative
Road repair taking too much time,Roads,Negative
Cracked road making driving uncomfortable,Roads,Negative
Road inspection planned near station,Roads,Neutral
Road department received complaint,Roads,Neutral
Road repair request submitted,Roads,Neutral
Inspection team checking road condition,Roads,Neutral
Temporary road work announced,Roads,Neutral
Road maintenance planned for next week,Roads,Neutral
Complaint under road department review,Roads,Neutral
Road survey completed in locality,Roads,Neutral
Authorities reviewing pothole complaint,Roads,Neutral
Repair approval pending for road,Roads,Neutral
Road repaired successfully near bridge,Roads,Positive
Fresh road surface improved driving,Roads,Positive
Potholes repaired without delay,Roads,Positive
Road quality improved significantly,Roads,Positive
Residents satisfied after road repair,Roads,Positive
Road maintenance completed successfully,Roads,Positive
Smooth road after repair work,Roads,Positive
Damaged road fixed properly,Roads,Positive
Road resurfacing solved traffic problem,Roads,Positive
Road condition much better now,Roads,Positive
Road maintenance taking longer than expected,Roads,Negative
Poor road surface causing inconvenience,Roads,Negative
Road repair work delayed again,Roads,Negative
Uneven road slowing traffic movement,Roads,Negative
Damaged road creating travel inconvenience,Roads,Negative
Bad road condition near office area,Roads,Negative
Road surface rough after rainfall,Roads,Negative
Cracked road making commute uncomfortable,Roads,Negative
Roadside repair work unfinished,Roads,Negative
Poor maintenance near junction,Roads,Negative
Road inspection requested near bridge,Roads,Neutral
Road repair approval pending,Roads,Neutral
Authorities reviewing road complaint,Roads,Neutral
Road maintenance request received,Roads,Neutral
Road condition inspection underway,Roads,Neutral
Survey team checking pothole condition,Roads,Neutral
Temporary road assessment scheduled,Roads,Neutral
Road department reviewing maintenance,Roads,Neutral
Road repair planned for next week,Roads,Neutral
Inspection team visited damaged road,Roads,Neutral
Road surface uneven near signal,Roads,Negative
Deep pothole creating accident risk,Roads,Critical
Road collapse blocking emergency vehicles,Roads,Critical
Bridge road unsafe after heavy rainfall,Roads,Critical
Routine road inspection scheduled,Roads,Neutral
