complaint_text,department,sentiment
"Maintenance work scheduled for tomorrow",Electricity,Neutral
"Electricity office received the complaint",Electricity,Neutral
"New connection request submitted",Electricity,Neutral
"Bill payment completed online",Electricity,Neutral
"Meter inspection completed successfully",Electricity,Neutral
"Power interruption lasted for ten minutes",Electricity,Neutral
"Complaint status is under review",Electricity,Neutral
"Electricity usage details updated in portal",Electricity,Neutral
"Technician visit scheduled for inspection",Electricity,Neutral
"Power resumed after brief interruption",Electricity,Neutral
"Electricity complaint submitted successfully",Electricity,Neutral
"Routine maintenance announced in area",Electricity,Neutral
"Bill amount generated for this month",Electricity,Neutral
"Temporary power shutdown for repair",Electricity,Neutral
"Meter replacement request accepted",Electricity,Neutral
"Electricity board acknowledged request",Electricity,Neutral
"Power supply resumed after maintenance",Electricity,Neutral
"Service request is currently in progress",Electricity,Neutral
"Electricity line inspection completed",Electricity,Neutral
"Monthly consumption report available",Electricity,Neutral
"Power restored after scheduled shutdown",Electricity,Neutral
"Complaint registered for voltage check",Electricity,Neutral
"Electricity staff inspected transformer",Electricity,Neutral
"Connection verification process completed",Electricity,Neutral
"Electricity bill payment reflected online",Electricity,Neutral
"Routine electricity inspection completed",Electricity,Neutral
"Complaint status changed to pending",Electricity,Neutral
"Electricity meter functioning normally",Electricity,Neutral
"Power supply resumed after short break",Electricity,Neutral
"Electricity board informed about outage",Electricity,Neutral
"Meter installation process completed",Electricity,Neutral
"Electricity complaint escalated for review",Electricity,Neutral
"Voltage remained stable during evening",Electricity,Neutral
"Power line inspection planned tomorrow",Electricity,Neutral
"Electricity office confirmed application",Electricity,Neutral
"Transformer maintenance completed today",Electricity,Neutral
"Electricity bill received by email",Electricity,Neutral
"Frequent low voltage issue in our area",Electricity,Negative
"Electricity bill amount seems incorrect",Electricity,Negative
"Power cuts happening every evening",Electricity,Negative
"Street lights not working properly",Electricity,Negative
"Voltage fluctuations causing inconvenience",Electricity,Negative
"Electricity office response is very slow",Electricity,Negative
"Meter reading appears inaccurate",Electricity,Negative
"Power outage lasted for several hours",Electricity,Negative
"Electricity service has become unreliable",Electricity,Negative
"Unexpected increase in monthly bill",Electricity,Negative
"Frequent interruptions affecting daily work",Electricity,Negative
"Complaint resolution taking too long",Electricity,Negative
"Electricity wires hanging dangerously",Electricity,Negative
"Power supply unstable during nighttime",Electricity,Negative
"Voltage drops damaging home appliances",Electricity,Negative
"Transformer issue not fixed yet",Electricity,Negative
"Poor customer service experience",Electricity,Negative
"Frequent power failure in locality",Electricity,Negative
"Electricity complaint ignored repeatedly",Electricity,Negative
"Street lights remain off for days",Electricity,Negative
"Electricity bill generated incorrectly",Electricity,Negative
"Power restored very late after outage",Electricity,Negative
"Unexpected electricity shutdown in morning",Electricity,Negative
"Customer support not responding properly",Electricity,Negative
"Low power supply affecting household work",Electricity,Negative
"Frequent tripping issue in building",Electricity,Negative
"Electricity office delayed response",Electricity,Negative
"Voltage instability damaging electronics",Electricity,Negative
"Complaint unresolved for many days",Electricity,Negative
"Power cuts increasing frequently",Electricity,Negative
"Electricity issue still not resolved",Electricity,Negative
"High electricity bill without reason",Electricity,Negative
"Street transformer making unusual noise",Electricity,Negative
"Frequent electricity disruption in neighborhood",Electricity,Negative
"Meter problem causing billing issue",Electricity,Negative
"Electricity service interruption affected work",Electricity,Negative
"Power supply weak during peak hours",Electricity,Negative
"Complaint handling process is slow",Electricity,Negative
"Electricity outage disturbed online classes",Electricity,Negative
"Voltage problem still continuing",Electricity,Negative
"Frequent electricity fluctuations during rain",Electricity,Negative
"Electricity office staff not cooperative",Electricity,Negative
"Long waiting time for issue resolution",Electricity,Negative
"Repeated power cuts affecting studies",Electricity,Negative
"Bill correction request still pending",Electricity,Negative
"Power supply disrupted multiple times today",Electricity,Negative
"Low voltage problem in apartment building",Electricity,Negative
"Electricity maintenance taking too long",Electricity,Negative
"Customer support not answering calls",Electricity,Negative
"Street lights flickering continuously",Electricity,Negative
"Transformer repair delayed again",Electricity,Negative
"Frequent blackout in residential area",Electricity,Negative
"Electricity bill too high this month",Electricity,Negative
"Voltage issue affecting electronic devices",Electricity,Negative
"Power cut happened without prior notice",Electricity,Negative
"Electricity complaint unresolved for weeks",Electricity,Negative
"Unexpected meter reading issue",Electricity,Negative
"Frequent power interruptions disturbing work",Electricity,Negative
"Transformer problem causing unstable electricity",Electricity,Negative
"Electricity service quality becoming poor",Electricity,Negative
"Complete power failure since morning",Electricity,Critical
"Transformer exploded near our locality",Electricity,Critical
"No electricity supply for over 12 hours",Electricity,Critical
"Electric wires sparking dangerously",Electricity,Critical
"Major voltage fluctuation damaged appliances",Electricity,Critical
"Hospital area facing long power outage",Electricity,Critical
"Transformer blast caused blackout",Electricity,Critical
"High voltage damaged refrigerator and TV",Electricity,Critical
"Electric pole caught fire near house",Electricity,Critical
"Emergency electricity issue not resolved",Electricity,Critical
"Entire locality without electricity",Electricity,Critical
"Power outage affecting water supply",Electricity,Critical
"Live electric wire fallen on road",Electricity,Critical
"Continuous blackout since last night",Electricity,Critical
"Power transformer burned completely",Electricity,Critical
"Electric shock risk due to exposed wiring",Electricity,Critical
"Electricity not restored after storm",Electricity,Critical
"Severe voltage fluctuation damaged inverter",Electricity,Critical
"Major power cut affecting businesses",Electricity,Critical
"Transformer failure caused city blackout",Electricity,Critical
"Electric pole damaged during rainfall",Electricity,Critical
"No electricity in hospital building",Electricity,Critical
"High tension wire snapped on road",Electricity,Critical
"Repeated transformer sparks near homes",Electricity,Critical
"Electricity outage affecting emergency services",Electricity,Critical
"Sudden voltage surge damaged appliances",Electricity,Critical
"Power supply unavailable for entire day",Electricity,Critical
"Critical transformer malfunction in locality",Electricity,Critical
"Electrical fire due to unstable voltage",Electricity,Critical
"Emergency complaint still unresolved",Electricity,Critical
"Electricity supply restored after complaint",Electricity,Positive
"Helpful technician resolved issue quickly",Electricity,Positive
"Bill issue solved within one day",Electricity,Positive
"Quick response to transformer complaint",Electricity,Positive
"Power restored faster than expected",Electricity,Positive
"Electricity staff provided excellent support",Electricity,Positive
"New electric connection activated successfully",Electricity,Positive
"Complaint resolved without delay",Electricity,Positive
"Stable electricity supply for entire week",Electricity,Positive
"Online complaint system worked smoothly",Electricity,Positive
"Meter issue corrected immediately",Electricity,Positive
"Fast resolution to power outage",Electricity,Positive
"Voltage problem solved permanently",Electricity,Positive
"Electricity department responded professionally",Electricity,Positive
"Service quality improved significantly",Electricity,Positive
"Quick restoration of electricity after fault",Electricity,Positive
"Power supply remained uninterrupted",Electricity,Positive
"Electricity maintenance team was efficient",Electricity,Positive
"Support team fixed issue on same day",Electricity,Positive
"Transformer repair completed successfully",Electricity,Positive
"Electricity usage updated in account",Electricity,Neutral
"Routine maintenance completed successfully",Electricity,Neutral
"Power resumed after short maintenance",Electricity,Neutral
"Complaint currently under process",Electricity,Neutral
"Meter inspection scheduled tomorrow",Electricity,Neutral
"Electricity office acknowledged complaint",Electricity,Neutral
"Monthly bill generated successfully",Electricity,Neutral
"Temporary outage due to maintenance",Electricity,Neutral
"Power line inspection completed",Electricity,Neutral
"Electricity board reviewing issue",Electricity,Neutral
"Meter reading recorded successfully",Electricity,Neutral
"Service request submitted online",Electricity,Neutral
"Electricity staff visited for inspection",Electricity,Neutral
"Power interruption lasted few minutes",Electricity,Neutral
"Transformer servicing completed today",Electricity,Neutral
"Electricity office confirmed request",Electricity,Neutral
"Routine checkup for power lines",Electricity,Neutral
"Complaint transferred to technical team",Electricity,Neutral
"Power supply resumed after inspection",Electricity,Neutral
"Electricity issue reported for review",Electricity,Neutral
"Power outage happened twice today",Electricity,Negative
"Voltage too low in our building",Electricity,Negative
"Street lights stopped working again",Electricity,Negative
"Electricity complaint delayed repeatedly",Electricity,Negative
"Customer support not answering properly",Electricity,Negative
"Unexpected rise in electricity bill",Electricity,Negative
"Frequent power cuts disturbing work",Electricity,Negative
"Transformer problem unresolved",Electricity,Negative
"Meter reading appears incorrect",Electricity,Negative
"Electricity outage affecting studies",Electricity,Negative
"Frequent voltage fluctuations in locality",Electricity,Negative
"Poor response from electricity office",Electricity,Negative
"Power disruption during office hours",Electricity,Negative
"Complaint unresolved despite reminders",Electricity,Negative
"Electricity service interrupted again",Electricity,Negative
"Low voltage damaging electronic devices",Electricity,Negative
"Bill correction request taking too long",Electricity,Negative
"Frequent blackouts in neighborhood",Electricity,Negative
"Transformer noise becoming louder",Electricity,Negative
"Power issue unresolved for days",Electricity,Negative
"Major power cut affecting entire area",Electricity,Critical
"Transformer explosion near market",Electricity,Critical
"Electricity not restored since morning",Electricity,Critical
"Live wire hanging near road",Electricity,Critical
"High voltage damaged home appliances",Electricity,Critical
"Power outage affecting hospital equipment",Electricity,Critical
"Transformer caught fire unexpectedly",Electricity,Critical
"Electrical sparks near residential area",Electricity,Critical
"Emergency complaint ignored repeatedly",Electricity,Critical
"Complete blackout for over 24 hours",Electricity,Critical
"Electric pole collapsed after rainfall",Electricity,Critical
"Voltage surge damaged inverter battery",Electricity,Critical
"Entire society without electricity",Electricity,Critical
"Severe electrical fault causing outage",Electricity,Critical
"Electricity issue risking public safety",Electricity,Critical
"Repeated transformer failures in area",Electricity,Critical
"Critical power outage disrupting businesses",Electricity,Critical
"Exposed electric cable near homes",Electricity,Critical
"Power outage affecting emergency services",Electricity,Critical
"Electrical fire caused by voltage issue",Electricity,Critical
"Electricity problem solved within few hours",Electricity,Positive
"Support staff restored power quickly",Electricity,Positive
"Very satisfied with electricity repair service",Electricity,Positive
"Faulty meter replaced immediately",Electricity,Positive
"Complaint handled professionally by authorities",Electricity,Positive
"Power issue resolved without delay",Electricity,Positive
"Quick action taken during voltage problem",Electricity,Positive
"Electricity restored before expected time",Electricity,Positive
"Helpful response from electricity department",Electricity,Positive
"Fast service for transformer repair",Electricity,Positive
"Issue fixed after one complaint",Electricity,Positive
"Excellent maintenance support received",Electricity,Positive
"Electricity supply improved after complaint",Electricity,Positive
"Repair team arrived quickly",Electricity,Positive
"Street light issue resolved promptly",Electricity,Positive
"Billing mistake corrected successfully",Electricity,Positive
"Transformer maintenance completed efficiently",Electricity,Positive
"Power resumed faster than expected",Electricity,Positive
"Complaint resolved in same day",Electricity,Positive
"Good support during electricity outage",Electricity,Positive
"Power supply available as usual",Electricity,Neutral
"Electricity board updated complaint status",Electricity,Neutral
"Scheduled maintenance announced",Electricity,Neutral
"Meter inspection planned for next week",Electricity,Neutral
"Routine repair work ongoing",Electricity,Neutral
"Power interruption lasted few minutes",Electricity,Neutral
"Bill payment confirmed successfully",Electricity,Neutral
"Connection request currently processing",Electricity,Neutral
"Electricity department acknowledged request",Electricity,Neutral
"Complaint transferred to maintenance team",Electricity,Neutral
"Transformer inspection completed",Electricity,Neutral
"Power resumed after planned shutdown",Electricity,Neutral
"Electricity meter checked by technician",Electricity,Neutral
"Routine service completed in locality",Electricity,Neutral
"Power line inspection in progress",Electricity,Neutral
"Monthly electricity statement received",Electricity,Neutral
"Temporary maintenance happening nearby",Electricity,Neutral
"Electricity office confirmed complaint",Electricity,Neutral
"Meter verification process ongoing",Electricity,Neutral
"Power resumed after maintenance work",Electricity,Neutral
"Frequent electricity interruptions in evening",Electricity,Negative
"Power cut disturbed office work",Electricity,Negative
"Electricity bill increased unexpectedly",Electricity,Negative
"Voltage fluctuation affecting fans",Electricity,Negative
"Customer support taking too long",Electricity,Negative
"Transformer issue causing inconvenience",Electricity,Negative
"Power outage disturbed online meeting",Electricity,Negative
"Frequent low voltage in locality",Electricity,Negative
"Complaint not resolved yet",Electricity,Negative
"Electricity issue affecting studies",Electricity,Negative
"Street lights stopped functioning",Electricity,Negative
"Repeated power cut in neighborhood",Electricity,Negative
"Electricity office delayed response",Electricity,Negative
"Meter issue affecting billing",Electricity,Negative
"Power supply unstable today",Electricity,Negative
"Unexpected electricity shutdown happened",Electricity,Negative
"Low voltage disturbing home appliances",Electricity,Negative
"Frequent outages becoming frustrating",Electricity,Negative
"Complaint ignored multiple times",Electricity,Negative
"Power issue affecting daily routine",Electricity,Negative
"Transformer blast caused panic in locality",Electricity,Critical
"Entire area without electricity for day",Electricity,Critical
"Electric wire snapped near road",Electricity,Critical
"Voltage surge damaged multiple devices",Electricity,Critical
"Electrical sparks seen near transformer",Electricity,Critical
"Hospital facing electricity outage",Electricity,Critical
"Power not restored since last night",Electricity,Critical
"High voltage damaged refrigerator",Electricity,Critical
"Live wire creating danger for public",Electricity,Critical
"Electricity outage affecting water pumps",Electricity,Critical
"Transformer caught fire near market",Electricity,Critical
"Emergency electricity issue unresolved",Electricity,Critical
"Major blackout affecting businesses",Electricity,Critical
"Electric pole collapsed in storm",Electricity,Critical
"Severe power issue affecting hospital",Electricity,Critical
"High tension wire hanging dangerously",Electricity,Critical
"Power outage for more than 15 hours",Electricity,Critical
"Voltage fluctuation burned electronic devices",Electricity,Critical
"Emergency complaint unanswered",Electricity,Critical
"Transformer damaged after heavy rainfall",Electricity,Critical
"Critical outage affecting school exams",Electricity,Critical
"Entire building without electricity",Electricity,Critical
"Electric sparks causing fire risk",Electricity,Critical
"Repeated transformer malfunction",Electricity,Critical
"Power cut affecting medical equipment",Electricity,Critical
"Severe voltage issue damaging appliances",Electricity,Critical
"Live cable exposed near homes",Electricity,Critical
"Transformer overheating causing blackout",Electricity,Critical
"Major electricity issue affecting locality",Electricity,Critical
"Power failure during emergency situation",Electricity,Critical
"Electricity restored within one hour after reporting",Electricity,Positive
"Helpful engineer solved transformer issue quickly",Electricity,Positive
"Very smooth process for new electricity connection",Electricity,Positive
"Customer support responded politely and quickly",Electricity,Positive
"Power supply has improved significantly in area",Electricity,Positive
"Faulty street light repaired immediately",Electricity,Positive
"Electricity complaint solved without repeated follow-up",Electricity,Positive
"Fast action taken during sudden outage",Electricity,Positive
"Technician explained electricity issue clearly",Electricity,Positive
"Quick repair prevented further power interruptions",Electricity,Positive
"Electricity bill generated for current month",Electricity,Neutral
"Maintenance work scheduled in neighborhood",Electricity,Neutral
"Power resumed after brief inspection",Electricity,Neutral
"Meter checking completed successfully",Electricity,Neutral
"Routine power line inspection underway",Electricity,Neutral
"Complaint status updated in system",Electricity,Neutral
"Electricity board received service request",Electricity,Neutral
"Temporary maintenance announced for transformer",Electricity,Neutral
"Electricity meter reading recorded today",Electricity,Neutral
"Power interruption lasted for scheduled maintenance",Electricity,Neutral
"Electricity supply weak during evening hours",Electricity,Negative
"Power cuts affecting children's studies",Electricity,Negative
"Voltage issue causing inconvenience at home",Electricity,Negative
"Frequent outages disturbing office work",Electricity,Negative
"Electricity office taking too long to respond",Electricity,Negative
"Unexpected electricity interruption in afternoon",Electricity,Negative
"Complaint still pending after several days",Electricity,Negative
"Power fluctuations affecting internet connection",Electricity,Negative
"Street lights not repaired for weeks",Electricity,Negative
"Electricity bill seems unusually expensive",Electricity,Negative
"Transformer making loud noise at night",Electricity,Negative
"Power outage interrupted online classes",Electricity,Negative
"Frequent tripping in apartment building",Electricity,Negative
"Customer service not resolving issue properly",Electricity,Negative
"Electricity issue affecting household activities",Electricity,Negative
"Major transformer failure affecting multiple buildings",Electricity,Critical
"Complete blackout in locality since midnight",Electricity,Critical
"High voltage damaged television and refrigerator",Electricity,Critical
"Live electric wire fallen near playground",Electricity,Critical
"Emergency outage affecting hospital patients",Electricity,Critical
"Transformer caught fire causing panic",Electricity,Critical
"Electrical sparks seen near power station",Electricity,Critical
"Severe voltage fluctuation burned appliances",Electricity,Critical
"Power failure stopped water supply in society",Electricity,Critical
"Exposed electric cable posing danger",Electricity,Critical
"Electric pole damaged and may collapse",Electricity,Critical
"Electricity outage affecting emergency services",Electricity,Critical
"Transformer blast heard in residential area",Electricity,Critical
"Power not restored for entire day",Electricity,Critical
"Critical electricity issue risking public safety",Electricity,Critical
Electricity inspection scheduled,Electricity,Neutral
Complaint under electricity department review,Electricity,Neutral
Routine transformer maintenance happening,Electricity,Neutral
Power line inspection completed,Electricity,Neutral
Electricity complaint received successfully,Electricity,Neutral
Temporary power shutdown announced,Electricity,Neutral
Electricity office processing complaint,Electricity,Neutral
Meter inspection planned tomorrow,Electricity,Neutral
Power resumed after inspection,Electricity,Neutral
Technician visit scheduled,Electricity,Neutral
Electricity issue fixed successfully,Electricity,Positive
Power restored quickly after complaint,Electricity,Positive
Transformer repaired successfully,Electricity,Positive
Electricity service improved greatly,Electricity,Positive
Power supply stable again,Electricity,Positive
Technician solved issue quickly,Electricity,Positive
Voltage issue resolved successfully,Electricity,Positive
Electricity complaint solved immediately,Electricity,Positive
Fast electricity restoration appreciated,Electricity,Positive
Power problem fixed without delay,Electricity,Positive
Complete blackout in locality,Electricity,Critical
Transformer blast affecting area,Electricity,Critical
Live electric wire creating danger,Electricity,Critical
Major power outage since morning,Electricity,Critical
Voltage surge damaged appliances,Electricity,Critical
Live electric wire creating public danger,Electricity,Critical
Transformer explosion causing blackout,Electricity,Critical
Complete power failure since morning,Electricity,Critical
Hospital facing emergency power outage,Electricity,Critical
Major voltage surge damaged appliances,Electricity,Critical
Electrical sparks creating fire danger,Electricity,Critical
High tension wire snapped near road,Electricity,Critical
Entire locality without electricity,Electricity,Critical
Emergency electricity issue unresolved,Electricity,Critical
Transformer caught fire in locality,Electricity,Critical
Electricity office responding slowly,Electricity,Negative
Power cuts disturbing daily routine,Electricity,Negative
Voltage issue affecting home appliances,Electricity,Negative
Frequent outages causing inconvenience,Electricity,Negative
Street lights not repaired yet,Electricity,Negative
Low voltage in apartment building,Electricity,Negative
Complaint still unresolved,Electricity,Negative
Unexpected rise in electricity bill,Electricity,Negative
Power supply unstable at night,Electricity,Negative
Electricity issue affecting work,Electricity,Negative
Electricity complaint under review,Electricity,Neutral
Routine transformer inspection planned,Electricity,Neutral
Technician visit scheduled,Electricity,Neutral
Temporary maintenance announced,Electricity,Neutral
Meter inspection completed,Electricity,Neutral
Electricity board received complaint,Electricity,Neutral
Power line inspection in progress,Electricity,Neutral
Routine service happening nearby,Electricity,Neutral
Complaint transferred for inspection,Electricity,Neutral
Maintenance work scheduled tomorrow,Electricity,Neutral
Electricity restored quickly,Electricity,Positive
Power issue fixed successfully,Electricity,Positive
Transformer repaired without delay,Electricity,Positive
Electricity service improved greatly,Electricity,Positive
Technician solved issue quickly,Electricity,Positive
Stable power supply restored,Electricity,Positive
Complaint resolved immediately,Electricity,Positive
Voltage issue solved successfully,Electricity,Positive
Fast electricity restoration appreciated,Electricity,Positive
Electricity problem fixed properly,Electricity,Positive
Power cuts disturbing daily activities,Electricity,Negative
Electricity office taking too long to respond,Electricity,Negative
Voltage fluctuations causing inconvenience,Electricity,Negative
Street lights not repaired properly,Electricity,Negative
Frequent outages affecting work,Electricity,Negative
Power supply unstable during evening,Electricity,Negative
Electricity issue unresolved for days,Electricity,Negative
Unexpected rise in electricity bill amount,Electricity,Negative
Complaint handling taking too much time,Electricity,Negative
Low voltage affecting home appliances,Electricity,Negative
Electricity complaint under review,Electricity,Neutral
Routine transformer check scheduled,Electricity,Neutral
Electricity maintenance planned tomorrow,Electricity,Neutral
Technician inspection visit confirmed,Electricity,Neutral
Electricity office processing request,Electricity,Neutral
Power line review underway,Electricity,Neutral
Routine electricity maintenance happening,Electricity,Neutral
Meter inspection currently scheduled,Electricity,Neutral
Complaint transferred for technical review,Electricity,Neutral
Electricity department checking issue,Electricity,Neutral
Minor voltage fluctuation affecting fans,Electricity,Negative
Electricity complaint pending for inspection,Electricity,Negative
Hospital facing complete power outage,Electricity,Critical
Live electric wire posing public danger,Electricity,Critical
Electricity maintenance planned tomorrow,Electricity,Neutral
Transformer blast near market,Electricity,Critical
Transformer exploded in residential area,Electricity,Critical
Power transformer blast caused blackout,Electricity,Critical
Electric transformer caught fire,Electricity,Critical
Transformer failure affecting electricity supply,Electricity,Critical
Major transformer issue near society,Electricity,Critical
Transformer damaged after heavy rain,Electricity,Critical
Electric pole transformer exploded,Electricity,Critical
High voltage transformer malfunction,Electricity,Critical
Transformer blast affecting electricity in locality,Electricity,Critical
