complaint_text,department,sentiment
Sewage mixed with drinking water,Water,Critical
Water supply stopped without notice,Water,Negative
Broken water pipe near school,Water,Critical
Water overflowing from public tank,Water,Negative
Tap water smells very bad,Water,Critical
No water for last three days,Water,Critical
Water supply timing too short,Water,Negative
Rusty water coming from tap,Water,Negative
Water not reaching upper floors,Water,Negative
Water valve damaged near society,Water,Critical
Pipeline leakage causing road flooding,Water,Critical
Water contamination issue in locality,Water,Critical
Drinking water tastes salty,Water,Negative
Water tanker not arriving on time,Water,Negative
Water supply interrupted daily,Water,Negative
Dirty water causing health issues,Water,Critical
Public water tap not working,Water,Negative
Underground water pipe burst,Water,Critical
Insufficient water in residential area,Water,Negative
Water meter damaged,Water,Neutral
Frequent water shortage in society,Water,Negative
Water pipe repair pending for weeks,Water,Negative
Tap connection leaking badly,Water,Negative
No water in school washrooms,Water,Critical
Water storage tank overflowing,Water,Negative
Water supply delayed every day,Water,Negative
Water pressure suddenly drops,Water,Negative
Brown colored water coming from tap,Water,Critical
Water contamination after rainfall,Water,Critical
Drinking water unavailable in park,Water,Neutral
Water department ignoring complaints,Water,Negative
Broken public water tap near station,Water,Negative
Water leakage near hospital,Water,Critical
No clean water in slum area,Water,Critical
Water supply unavailable at night,Water,Negative
Water issue unresolved for months,Water,Negative
Dirty tap water causing stomach problems,Water,Critical
Public water tank damaged,Water,Negative
Water pipeline repair incomplete,Water,Negative
Irregular water supply timings,Water,Negative
Drinking water shortage near market,Water,Critical
Water wastage due to broken valve,Water,Negative
No emergency water tanker provided,Water,Critical
No water supply in our area since morning,Water,Critical
Dirty water coming from tap near market,Water,Critical
Water pipeline broken near school,Water,Critical
No drinking water for last three days,Water,Critical
Water leakage causing huge wastage,Water,Critical
Sewage water mixing with drinking water,Water,Critical
No water in society during summer,Water,Critical
Contaminated water causing illness,Water,Critical
Underground water pipe burst near road,Water,Critical
No clean water near hospital area,Water,Critical
Water supply stopped suddenly,Water,Critical
Water tank not cleaned for months,Water,Critical
No emergency water tanker provided,Water,Critical
Brown dirty water coming from taps,Water,Critical
Water shortage affecting school washrooms,Water,Critical
Water issue unresolved for weeks,Water,Critical
Public water tap broken near station,Water,Critical
Drinking water unavailable near market,Water,Critical
Water contamination after rainfall,Water,Critical
Pipeline damage stopping supply,Water,Critical
Low water pressure in building,Water,Negative
Water supply timing too short,Water,Negative
Water leakage near society gate,Water,Negative
Irregular water supply every day,Water,Negative
Tap water smells strange,Water,Negative
Water department ignoring complaints,Water,Negative
Water not reaching upper floors,Water,Negative
Water tanker arriving late,Water,Negative
Poor water pressure near market,Water,Negative
Tap leaking continuously,Water,Negative
Water pipe repair delayed,Water,Negative
Water storage tank overflowing,Water,Negative
Water supply delayed daily,Water,Negative
Rusty water coming from tap,Water,Negative
Public water tap not working,Water,Negative
Water meter damaged,Water,Neutral
Minor water leakage near pipeline,Water,Neutral
Water supply slightly delayed today,Water,Neutral
Water pressure normal but slightly low,Water,Neutral
Small issue in water timing,Water,Neutral
Water available but pressure reduced,Water,Neutral
Routine pipeline maintenance observed,Water,Neutral
Small leakage near water tank,Water,Neutral
Minor water interruption near colony,Water,Neutral
Water flow slower than usual,Water,Neutral
Water supply restored quickly,Water,Positive
Pipeline repaired successfully,Water,Positive
Clean water supply resumed,Water,Positive
Water issue fixed near society,Water,Positive
Water tanker arrived on time,Water,Positive
No water supply near railway station,Water,Critical
Water contaminated with sewage smell,Water,Critical
Broken water pipe near market area,Water,Critical
No drinking water in locality for two days,Water,Critical
Severe water shortage near school,Water,Critical
Dirty muddy water from tap,Water,Critical
Public water line damaged badly,Water,Critical
Water supply stopped without notice,Water,Critical
Underground pipeline burst near bridge,Water,Critical
No water in hospital washrooms,Water,Critical
Water contamination causing stomach problems,Water,Critical
Major water leakage wasting resources,Water,Critical
No clean water in slum area,Water,Critical
Water tank damaged near colony,Water,Critical
Pipeline crack reducing supply,Water,Critical
Tap water unsafe for drinking,Water,Critical
No emergency water support provided,Water,Critical
Drinking water unavailable for residents,Water,Critical
Water issue becoming severe daily,Water,Critical
Contaminated tap water affecting health,Water,Critical
Water pressure very low near station,Water,Negative
Frequent interruption in water supply,Water,Negative
Water tanker delayed again,Water,Negative
Poor quality water near market,Water,Negative
Water supply available for short duration,Water,Negative
Low pressure on upper floors,Water,Negative
Tap water slightly dirty,Water,Negative
Pipeline repair work incomplete,Water,Negative
Irregular water timing in society,Water,Negative
Water flowing slowly from taps,Water,Negative
Minor leakage near water valve,Water,Negative
Water department responding slowly,Water,Negative
Tap issue unresolved near school,Water,Negative
Water pressure dropping every evening,Water,Negative
Slight contamination in tap water,Water,Negative
Water supply weak near colony,Water,Negative
Small water delay in morning,Water,Neutral
Water available with slightly low pressure,Water,Neutral
Routine water maintenance happening,Water,Neutral
Small leakage repaired quickly,Water,Neutral
Water flow stable after repair,Water,Neutral
Minor supply issue fixed,Water,Neutral
Water supply resumed after interruption,Water,Neutral
Slight drop in pressure today,Water,Neutral
Water tank maintenance observed,Water,Neutral
Clean water restored near school,Water,Positive
Water pipeline repaired successfully,Water,Positive
Good water supply after complaint,Water,Positive
Water quality improved significantly,Water,Positive
Regular water supply restored,Water,Positive
No water supply near railway station,Water,Critical
Water contaminated with sewage smell,Water,Critical
Broken water pipe near market area,Water,Critical
No drinking water in locality for two days,Water,Critical
Severe water shortage near school,Water,Critical
Dirty muddy water from tap,Water,Critical
Public water line damaged badly,Water,Critical
Water supply stopped without notice,Water,Critical
Underground pipeline burst near bridge,Water,Critical
No water in hospital washrooms,Water,Critical
Water contamination causing stomach problems,Water,Critical
Major water leakage wasting resources,Water,Critical
No clean water in slum area,Water,Critical
Water tank damaged near colony,Water,Critical
Pipeline crack reducing supply,Water,Critical
Tap water unsafe for drinking,Water,Critical
No emergency water support provided,Water,Critical
Drinking water unavailable for residents,Water,Critical
Water issue becoming severe daily,Water,Critical
Contaminated tap water affecting health,Water,Critical
Water pressure very low near station,Water,Negative
Frequent interruption in water supply,Water,Negative
Water tanker delayed again,Water,Negative
Poor quality water near market,Water,Negative
Water supply available for short duration,Water,Negative
Low pressure on upper floors,Water,Negative
Tap water slightly dirty,Water,Negative
Pipeline repair work incomplete,Water,Negative
Irregular water timing in society,Water,Negative
Water flowing slowly from taps,Water,Negative
Minor leakage near water valve,Water,Negative
Water department responding slowly,Water,Negative
Tap issue unresolved near school,Water,Negative
Water pressure dropping every evening,Water,Negative
Slight contamination in tap water,Water,Negative
Water supply weak near colony,Water,Negative
Small water delay in morning,Water,Neutral
Water available with slightly low pressure,Water,Neutral
Routine water maintenance happening,Water,Neutral
Small leakage repaired quickly,Water,Neutral
Water flow stable after repair,Water,Neutral
Minor supply issue fixed,Water,Neutral
Water supply resumed after interruption,Water,Neutral
Slight drop in pressure today,Water,Neutral
Water tank maintenance observed,Water,Neutral
Clean water restored near school,Water,Positive
Water pipeline repaired successfully,Water,Positive
Good water supply after complaint,Water,Positive
Water quality improved significantly,Water,Positive
Regular water supply restored,Water,Positive
Water pipeline repaired successfully near market,Water,Positive
Water leakage issue fixed completely,Water,Positive
Clean water supply restored quickly,Water,Positive
Water department solved issue fast,Water,Positive
Pipeline repaired and water supply resumed,Water,Positive
Water pressure improved after repair,Water,Positive
Broken pipe repaired successfully,Water,Positive
Water supply problem resolved,Water,Positive
Fresh clean water available after repair,Water,Positive
Water tank cleaned and repaired,Water,Positive
Water service improved significantly,Water,Positive
Water complaint fixed successfully,Water,Positive
Good water pressure after maintenance,Water,Positive
Water line repaired near colony,Water,Positive
Water issue solved by department,Water,Positive
Water flow restored after repair,Water,Positive
Residents satisfied with water service,Water,Positive
Pipeline maintenance completed properly,Water,Positive
Water problem resolved near society,Water,Positive
Water quality improved after repair,Water,Positive
"Electricity issue was resolved quickly by the team",Electricity,Positive
"Power supply has been stable for the past month",Electricity,Positive
"Customer service handled the complaint professionally",Electricity,Positive
"Street lights were repaired promptly",Electricity,Positive
"Bill correction was completed successfully",Electricity,Positive
"Transformer repair was done efficiently",Electricity,Positive
"Electricity board responded quickly to complaint",Electricity,Positive
"Power restored faster than expected",Electricity,Positive
"Customer support was helpful and polite",Electricity,Positive
"Voltage issue resolved within hours",Electricity,Positive
"Electricity service improved significantly",Electricity,Positive
"Maintenance team fixed wiring problem quickly",Electricity,Positive
"Received proper explanation for electricity bill",Electricity,Positive
"Complaint was addressed without delay",Electricity,Positive
"Power supply is uninterrupted now",Electricity,Positive
"Technician arrived on time and fixed issue",Electricity,Positive
"Meter replacement completed successfully",Electricity,Positive
"Fast response to local electricity problem",Electricity,Positive
"Electricity office resolved issue effectively",Electricity,Positive
"Power outage restored within one hour",Electricity,Positive
"New electricity connection process was smooth",Electricity,Positive
"Support staff provided excellent assistance",Electricity,Positive
"Electricity complaint was resolved professionally",Electricity,Positive
"Billing issue solved immediately",Electricity,Positive
"Area now receives consistent electricity",Electricity,Positive
"Quick transformer replacement done by authorities",Electricity,Positive
"Fuse issue fixed without delay",Electricity,Positive
"Received excellent customer support",Electricity,Positive
"Complaint tracking system worked properly",Electricity,Positive
"Electricity staff behaved respectfully",Electricity,Positive
"Good response during maintenance request",Electricity,Positive
"Voltage fluctuations reduced significantly",Electricity,Positive
"Power issue resolved after request",Electricity,Positive
"Online complaint process was smooth",Electricity,Positive
"Street power supply restored efficiently",Electricity,Positive
"Service team fixed issue on same day",Electricity,Positive
"Meter reading problem corrected quickly",Electricity,Positive
"Fast electricity restoration service",Electricity,Positive
"Authorities solved local power issue promptly",Electricity,Positive
"Electricity department support was good",Electricity,Positive
"Monthly electricity bill generated successfully",Electricity,Neutral
"Power supply remained normal today",Electricity,Neutral
"Electricity meter reading was updated",Electricity,Neutral
"Maintenance work scheduled for tomorrow",Electricity,Neutral
"Electricity office received the complaint",Electricity,Neutral
"New connection request submitted",Electricity,Neutral
"Bill payment completed online",Electricity,Neutral
"Meter inspection completed successfully",Electricity,Neutral
"Power interruption lasted for ten minutes",Electricity,Neutral
"Complaint status is under review",Electricity,Neutral
"Electricity usage details updated in portal",Electricity,Neutral
"Technician visit scheduled for inspection",Electricity,Neutral
"Power resumed after brief interruption",Electricity,Neutral
"Electricity complaint submitted successfully",Electricity,Neutral
"Routine maintenance announced in area",Electricity,Neutral
"Bill amount generated for this month",Electricity,Neutral
"Temporary power shutdown for repair",Electricity,Neutral
"Meter replacement request accepted",Electricity,Neutral
"Electricity board acknowledged request",Electricity,Neutral
"Power supply resumed after maintenance",Electricity,Neutral
"Service request is currently in progress",Electricity,Neutral
"Electricity line inspection completed",Electricity,Neutral
"Monthly consumption report available",Electricity,Neutral
"Power restored after scheduled shutdown",Electricity,Neutral
"Complaint registered for voltage check",Electricity,Neutral
"Electricity staff inspected transformer",Electricity,Neutral
"Connection verification process completed",Electricity,Neutral
"Electricity bill payment reflected online",Electricity,Neutral
"Routine electricity inspection completed",Electricity,Neutral
"Complaint status changed to pending",Electricity,Neutral
"Electricity meter functioning normally",Electricity,Neutral
"Power supply resumed after short break",Electricity,Neutral
"Electricity board informed about outage",Electricity,Neutral
"Meter installation process completed",Electricity,Neutral
"Electricity complaint escalated for review",Electricity,Neutral
"Voltage remained stable during evening",Electricity,Neutral
"Power line inspection planned tomorrow",Electricity,Neutral
"Electricity office confirmed application",Electricity,Neutral
"Transformer maintenance completed today",Electricity,Neutral
"Electricity bill received by email",Electricity,Neutral
"Frequent low voltage issue in our area",Electricity,Negative
"Electricity bill amount seems incorrect",Electricity,Negative
"Power cuts happening every evening",Electricity,Negative
"Street lights not working properly",Electricity,Negative
"Voltage fluctuations causing inconvenience",Electricity,Negative
"Electricity office response is very slow",Electricity,Negative
"Meter reading appears inaccurate",Electricity,Negative
"Power outage lasted for several hours",Electricity,Negative
"Electricity service has become unreliable",Electricity,Negative
"Unexpected increase in monthly bill",Electricity,Negative
"Frequent interruptions affecting daily work",Electricity,Negative
"Complaint resolution taking too long",Electricity,Negative
"Electricity wires hanging dangerously",Electricity,Negative
"Power supply unstable during nighttime",Electricity,Negative
"Voltage drops damaging home appliances",Electricity,Negative
"Transformer issue not fixed yet",Electricity,Negative
"Poor customer service experience",Electricity,Negative
"Frequent power failure in locality",Electricity,Negative
"Electricity complaint ignored repeatedly",Electricity,Negative
"Street lights remain off for days",Electricity,Negative
"Electricity bill generated incorrectly",Electricity,Negative
"Power restored very late after outage",Electricity,Negative
"Unexpected electricity shutdown in morning",Electricity,Negative
"Customer support not responding properly",Electricity,Negative
"Low power supply affecting household work",Electricity,Negative
"Frequent tripping issue in building",Electricity,Negative
"Electricity office delayed response",Electricity,Negative
"Voltage instability damaging electronics",Electricity,Negative
"Complaint unresolved for many days",Electricity,Negative
"Power cuts increasing frequently",Electricity,Negative
"Electricity issue still not resolved",Electricity,Negative
"High electricity bill without reason",Electricity,Negative
"Street transformer making unusual noise",Electricity,Negative
"Frequent electricity disruption in neighborhood",Electricity,Negative
"Meter problem causing billing issue",Electricity,Negative
"Electricity service interruption affected work",Electricity,Negative
"Power supply weak during peak hours",Electricity,Negative
"Complaint handling process is slow",Electricity,Negative
"Electricity outage disturbed online classes",Electricity,Negative
"Voltage problem still continuing",Electricity,Negative
"Frequent electricity fluctuations during rain",Electricity,Negative
"Electricity office staff not cooperative",Electricity,Negative
"Long waiting time for issue resolution",Electricity,Negative
"Repeated power cuts affecting studies",Electricity,Negative
"Bill correction request still pending",Electricity,Negative
"Power supply disrupted multiple times today",Electricity,Negative
"Low voltage problem in apartment building",Electricity,Negative
"Electricity maintenance taking too long",Electricity,Negative
"Customer support not answering calls",Electricity,Negative
"Street lights flickering continuously",Electricity,Negative
"Transformer repair delayed again",Electricity,Negative
"Frequent blackout in residential area",Electricity,Negative
"Electricity bill too high this month",Electricity,Negative
"Voltage issue affecting electronic devices",Electricity,Negative
"Power cut happened without prior notice",Electricity,Negative
"Electricity complaint unresolved for weeks",Electricity,Negative
"Unexpected meter reading issue",Electricity,Negative
"Frequent power interruptions disturbing work",Electricity,Negative
"Transformer problem causing unstable electricity",Electricity,Negative
"Electricity service quality becoming poor",Electricity,Negative
"Complete power failure since morning",Electricity,Critical
"Transformer exploded near our locality",Electricity,Critical
"No electricity supply for over 12 hours",Electricity,Critical
"Electric wires sparking dangerously",Electricity,Critical
"Major voltage fluctuation damaged appliances",Electricity,Critical
"Hospital area facing long power outage",Electricity,Critical
"Transformer blast caused blackout",Electricity,Critical
"High voltage damaged refrigerator and TV",Electricity,Critical
"Electric pole caught fire near house",Electricity,Critical
"Emergency electricity issue not resolved",Electricity,Critical
"Entire locality without electricity",Electricity,Critical
"Power outage affecting water supply",Electricity,Critical
"Live electric wire fallen on road",Electricity,Critical
"Continuous blackout since last night",Electricity,Critical
"Power transformer burned completely",Electricity,Critical
"Electric shock risk due to exposed wiring",Electricity,Critical
"Electricity not restored after storm",Electricity,Critical
"Severe voltage fluctuation damaged inverter",Electricity,Critical
"Major power cut affecting businesses",Electricity,Critical
"Transformer failure caused city blackout",Electricity,Critical
"Electric pole damaged during rainfall",Electricity,Critical
"No electricity in hospital building",Electricity,Critical
"High tension wire snapped on road",Electricity,Critical
"Repeated transformer sparks near homes",Electricity,Critical
"Electricity outage affecting emergency services",Electricity,Critical
"Sudden voltage surge damaged appliances",Electricity,Critical
"Power supply unavailable for entire day",Electricity,Critical
"Critical transformer malfunction in locality",Electricity,Critical
"Electrical fire due to unstable voltage",Electricity,Critical
"Emergency complaint still unresolved",Electricity,Critical
"Electricity supply restored after complaint",Electricity,Positive
"Helpful technician resolved issue quickly",Electricity,Positive
"Bill issue solved within one day",Electricity,Positive
"Quick response to transformer complaint",Electricity,Positive
"Power restored faster than expected",Electricity,Positive
"Electricity staff provided excellent support",Electricity,Positive
"New electric connection activated successfully",Electricity,Positive
"Complaint resolved without delay",Electricity,Positive
"Stable electricity supply for entire week",Electricity,Positive
"Online complaint system worked smoothly",Electricity,Positive
"Meter issue corrected immediately",Electricity,Positive
"Fast resolution to power outage",Electricity,Positive
"Voltage problem solved permanently",Electricity,Positive
"Electricity department responded professionally",Electricity,Positive
"Service quality improved significantly",Electricity,Positive
"Quick restoration of electricity after fault",Electricity,Positive
"Power supply remained uninterrupted",Electricity,Positive
"Electricity maintenance team was efficient",Electricity,Positive
"Support team fixed issue on same day",Electricity,Positive
"Transformer repair completed successfully",Electricity,Positive
"Electricity usage updated in account",Electricity,Neutral
"Routine maintenance completed successfully",Electricity,Neutral
"Power resumed after short maintenance",Electricity,Neutral
"Complaint currently under process",Electricity,Neutral
"Meter inspection scheduled tomorrow",Electricity,Neutral
"Electricity office acknowledged complaint",Electricity,Neutral
"Monthly bill generated successfully",Electricity,Neutral
"Temporary outage due to maintenance",Electricity,Neutral
"Power line inspection completed",Electricity,Neutral
"Electricity board reviewing issue",Electricity,Neutral
"Meter reading recorded successfully",Electricity,Neutral
"Service request submitted online",Electricity,Neutral
"Electricity staff visited for inspection",Electricity,Neutral
"Power interruption lasted few minutes",Electricity,Neutral
"Transformer servicing completed today",Electricity,Neutral
"Electricity office confirmed request",Electricity,Neutral
"Routine checkup for power lines",Electricity,Neutral
"Complaint transferred to technical team",Electricity,Neutral
"Power supply resumed after inspection",Electricity,Neutral
"Electricity issue reported for review",Electricity,Neutral
"Power outage happened twice today",Electricity,Negative
"Voltage too low in our building",Electricity,Negative
"Street lights stopped working again",Electricity,Negative
"Electricity complaint delayed repeatedly",Electricity,Negative
"Customer support not answering properly",Electricity,Negative
"Unexpected rise in electricity bill",Electricity,Negative
"Frequent power cuts disturbing work",Electricity,Negative
"Transformer problem unresolved",Electricity,Negative
"Meter reading appears incorrect",Electricity,Negative
"Electricity outage affecting studies",Electricity,Negative
"Frequent voltage fluctuations in locality",Electricity,Negative
"Poor response from electricity office",Electricity,Negative
"Power disruption during office hours",Electricity,Negative
"Complaint unresolved despite reminders",Electricity,Negative
"Electricity service interrupted again",Electricity,Negative
"Low voltage damaging electronic devices",Electricity,Negative
"Bill correction request taking too long",Electricity,Negative
"Frequent blackouts in neighborhood",Electricity,Negative
"Transformer noise becoming louder",Electricity,Negative
"Power issue unresolved for days",Electricity,Negative
"Major power cut affecting entire area",Electricity,Critical
"Transformer explosion near market",Electricity,Critical
"Electricity not restored since morning",Electricity,Critical
"Live wire hanging near road",Electricity,Critical
"High voltage damaged home appliances",Electricity,Critical
"Power outage affecting hospital equipment",Electricity,Critical
"Transformer caught fire unexpectedly",Electricity,Critical
"Electrical sparks near residential area",Electricity,Critical
"Emergency complaint ignored repeatedly",Electricity,Critical
"Complete blackout for over 24 hours",Electricity,Critical
"Electric pole collapsed after rainfall",Electricity,Critical
"Voltage surge damaged inverter battery",Electricity,Critical
"Entire society without electricity",Electricity,Critical
"Severe electrical fault causing outage",Electricity,Critical
"Electricity issue risking public safety",Electricity,Critical
"Repeated transformer failures in area",Electricity,Critical
"Critical power outage disrupting businesses",Electricity,Critical
"Exposed electric cable near homes",Electricity,Critical
"Power outage affecting emergency services",Electricity,Critical
"Electrical fire caused by voltage issue",Electricity,Critical
"Electricity problem solved within few hours",Electricity,Positive
"Support staff restored power quickly",Electricity,Positive
"Very satisfied with electricity repair service",Electricity,Positive
"Faulty meter replaced immediately",Electricity,Positive
